ltr,12,left|to|right,3
fc,36,fixed|cost,2
wc,21,working|calendar,2
dm,33,display|metrics,2
cp,10,class|path,2
cpe,20,class|path|entry,3
jme,56,java|model|exception,3
em,24,entity|mode,2
lce,25,loading|collection|entry,3
ce,12,context|entry,2
ps,36,prepared|statement,2
ck,4,cache|key,2
uk,16,unique|key,2
fk,4,foreign|key,2
uk,7,unique|key,2
ad,6,annotation|descriptor,2
uc,5,unique|constraint,2
pkit,8,primary|key|iterator,2
annd,16,annotation|descriptor,2
cnfe,10,class|name|found|exception,3
js,4,joined|subclass,2
fkc,7,foreign|key|class,3
pc,12,primary|column,2
it,9,inheritance|table,2
jc,15,join|column,2
sp,16,second|pass,2
fk,7,foreign|key,2
ee,25,execution|exception,2
es,5,entry|set,2
gc,10,graphics|configuration,2
st,22,scale|transform,2
zp,14,zoom|point,2
pf,6,page|format,2
ret,33,rectangle|type,2
st,26,scale|transform,2
tt,8,title|text,2
lt,13,legend|title,2
psl,24,paint|scale|legend,2
ct,32,composite|title,2
bc,33,block|container,2
lb,11,label|block,2
cp,36,category|plot,2
cp,7,combined|plot,2
sca,12,subcategory|axis,2
br,20,bar|renderer,2
sbr,28,statistical|bar|renderer,3
mmcr,34,max|min|category|renderer,3
br,14,bar|renderer,2
ta,9,text|annotation,2
lg,32,line|group,2
ti,14,table|info,2
sbr,30,string|buffer|row,2
bd,32,binary|data,2
rs,34,result|set,2
isol,5,isolation|level,2
dbv,5,database|version,2
vmn,16,version|major|number,3
sb,35,string|buffer,2
is,36,instance|string,2
si,12,select|inquiry,2
sp,2,system|properties,2
ss,5,schema|system,2
pd,17,protection|domain,2
ue,17,unknown|element,2
sysp,12,system|property,2
jt,8,junit|test,2
fe,4,formatter|element,2
fa,1,formatter|array,2
cm,8,case|message,2
as,35,attribute|string,2
ch,10,class|helper,3
ih,15,introspection|helper,2
as,21,attribute|setter,2
iae,34,illegal|access|exception,2
ite,37,invocation|target|exception,3
nc,25,nested|creator,2
ne,5,nested|element,2
ue,14,unknown|element,2
nt,14,name|type,2
at,14,attribute|types,2
ea,8,enumerated|attribute,2
ie,11,invoke|exception,2
dow,6,day|of|week,3
iltr,12,is|left|to|right,4
sfdd,27,set|first|displayed|date,4
dfi,34,date|format|instance,3
mem,48,motion|event|mouse,3
sga,3,sequence|generator|annotations,4
uisp,53,user|interface|setting|parameters,4
iltr,17,is|left|to|right,4
coel,15,component|orientation|elements|list,4
dow,19,day|of|week,3
fdow,29,first|day|of|week,4
ncc,25,number|calendar|columns,3
numCalR,26,number|calendar|row,4
tinum,3,task|id|number,3
csss,14,config|smallest|screen|size,4
adidcl,16,annotation|descriptor|id|class,4
ada,7,annotation|descriptor|access,4
drso,8,dataset|result|set|order,4